areaCd,areaNm,signguCd,signguNm,sigunguCd,sigunguNm,fullRegionNm,areaNmNormalized,signguNmNormalized,fullRegionNmNormalized
11,서울특별시,11110,종로구,11110,종로구,서울특별시 종로구,서울특별시,종로구,서울특별시종로구
11,서울특별시,11140,중구,11140,중구,서울특별시 중구,서울특별시,중구,서울특별시중구
11,서울특별시,11170,용산구,11170,용산구,서울특별시 용산구,서울특별시,용산구,서울특별시용산구
11,서울특별시,11200,성동구,11200,성동구,서울특별시 성동구,서울특별시,성동구,서울특별시성동구
11,서울특별시,11215,광진구,11215,광진구,서울특별시 광진구,서울특별시,광진구,서울특별시광진구
11,서울특별시,11230,동대문구,11230,동대문구,서울특별시 동대문구,서울특별시,동대문구,서울특별시동대문구
11,서울특별시,11260,중랑구,11260,중랑구,서울특별시 중랑구,서울특별시,중랑구,서울특별시중랑구
11,서울특별시,11290,성북구,11290,성북구,서울특별시 성북구,서울특별시,성북구,서울특별시성북구
11,서울특별시,11305,강북구,11305,강북구,서울특별시 강북구,서울특별시,강북구,서울특별시강북구
11,서울특별시,11320,도봉구,11320,도봉구,서울특별시 도봉구,서울특별시,도봉구,서울특별시도봉구
11,서울특별시,11350,노원구,11350,노원구,서울특별시 노원구,서울특별시,노원구,서울특별시노원구
11,서울특별시,11380,은평구,11380,은평구,서울특별시 은평구,서울특별시,은평구,서울특별시은평구
11,서울특별시,11410,서대문구,11410,서대문구,서울특별시 서대문구,서울특별시,서대문구,서울특별시서대문구
11,서울특별시,11440,마포구,11440,마포구,서울특별시 마포구,서울특별시,마포구,서울특별시마포구
11,서울특별시,11470,양천구,11470,양천구,서울특별시 양천구,서울특별시,양천구,서울특별시양천구
11,서울특별시,11500,강서구,11500,강서구,서울특별시 강서구,서울특별시,강서구,서울특별시강서구
11,서울특별시,11530,구로구,11530,구로구,서울특별시 구로구,서울특별시,구로구,서울특별시구로구
11,서울특별시,11545,금천구,11545,금천구,서울특별시 금천구,서울특별시,금천구,서울특별시금천구
11,서울특별시,11560,영등포구,11560,영등포구,서울특별시 영등포구,서울특별시,영등포구,서울특별시영등포구
11,서울특별시,11590,동작구,11590,동작구,서울특별시 동작구,서울특별시,동작구,서울특별시동작구
11,서울특별시,11620,관악구,11620,관악구,서울특별시 관악구,서울특별시,관악구,서울특별시관악구
11,서울특별시,11650,서초구,11650,서초구,서울특별시 서초구,서울특별시,서초구,서울특별시서초구
11,서울특별시,11680,강남구,11680,강남구,서울특별시 강남구,서울특별시,강남구,서울특별시강남구
11,서울특별시,11710,송파구,11710,송파구,서울특별시 송파구,서울특별시,송파구,서울특별시송파구
11,서울특별시,11740,강동구,11740,강동구,서울특별시 강동구,서울특별시,강동구,서울특별시강동구
26,부산광역시,26110,중구,26110,중구,부산광역시 중구,부산광역시,중구,부산광역시중구
26,부산광역시,26140,서구,26140,서구,부산광역시 서구,부산광역시,서구,부산광역시서구
26,부산광역시,26170,동구,26170,동구,부산광역시 동구,부산광역시,동구,부산광역시동구
26,부산광역시,26200,영도구,26200,영도구,부산광역시 영도구,부산광역시,영도구,부산광역시영도구
26,부산광역시,26230,부산진구,26230,부산진구,부산광역시 부산진구,부산광역시,부산진구,부산광역시부산진구
26,부산광역시,26260,동래구,26260,동래구,부산광역시 동래구,부산광역시,동래구,부산광역시동래구
26,부산광역시,26290,남구,26290,남구,부산광역시 남구,부산광역시,남구,부산광역시남구
26,부산광역시,26320,북구,26320,북구,부산광역시 북구,부산광역시,북구,부산광역시북구
26,부산광역시,26350,해운대구,26350,해운대구,부산광역시 해운대구,부산광역시,해운대구,부산광역시해운대구
26,부산광역시,26380,사하구,26380,사하구,부산광역시 사하구,부산광역시,사하구,부산광역시사하구
26,부산광역시,26410,금정구,26410,금정구,부산광역시 금정구,부산광역시,금정구,부산광역시금정구
26,부산광역시,26440,강서구,26440,강서구,부산광역시 강서구,부산광역시,강서구,부산광역시강서구
26,부산광역시,26470,연제구,26470,연제구,부산광역시 연제구,부산광역시,연제구,부산광역시연제구
26,부산광역시,26500,수영구,26500,수영구,부산광역시 수영구,부산광역시,수영구,부산광역시수영구
26,부산광역시,26530,사상구,26530,사상구,부산광역시 사상구,부산광역시,사상구,부산광역시사상구
26,부산광역시,26710,기장군,26710,기장군,부산광역시 기장군,부산광역시,기장군,부산광역시기장군
27,대구광역시,27110,중구,27110,중구,대구광역시 중구,대구광역시,중구,대구광역시중구
27,대구광역시,27140,동구,27140,동구,대구광역시 동구,대구광역시,동구,대구광역시동구
27,대구광역시,27170,서구,27170,서구,대구광역시 서구,대구광역시,서구,대구광역시서구
27,대구광역시,27200,남구,27200,남구,대구광역시 남구,대구광역시,남구,대구광역시남구
27,대구광역시,27230,북구,27230,북구,대구광역시 북구,대구광역시,북구,대구광역시북구
27,대구광역시,27260,수성구,27260,수성구,대구광역시 수성구,대구광역시,수성구,대구광역시수성구
27,대구광역시,27290,달서구,27290,달서구,대구광역시 달서구,대구광역시,달서구,대구광역시달서구
27,대구광역시,27710,달성군,27710,달성군,대구광역시 달성군,대구광역시,달성군,대구광역시달성군
27,대구광역시,27720,군위군,27720,군위군,대구광역시 군위군,대구광역시,군위군,대구광역시군위군
28,인천광역시,28110,중구,28110,중구,인천광역시 중구,인천광역시,중구,인천광역시중구
28,인천광역시,28140,동구,28140,동구,인천광역시 동구,인천광역시,동구,인천광역시동구
28,인천광역시,28177,미추홀구,28177,미추홀구,인천광역시 미추홀구,인천광역시,미추홀구,인천광역시미추홀구
28,인천광역시,28185,연수구,28185,연수구,인천광역시 연수구,인천광역시,연수구,인천광역시연수구
28,인천광역시,28200,남동구,28200,남동구,인천광역시 남동구,인천광역시,남동구,인천광역시남동구
28,인천광역시,28237,부평구,28237,부평구,인천광역시 부평구,인천광역시,부평구,인천광역시부평구
28,인천광역시,28245,계양구,28245,계양구,인천광역시 계양구,인천광역시,계양구,인천광역시계양구
28,인천광역시,28260,서구,28260,서구,인천광역시 서구,인천광역시,서구,인천광역시서구
28,인천광역시,28710,강화군,28710,강화군,인천광역시 강화군,인천광역시,강화군,인천광역시강화군
28,인천광역시,28720,옹진군,28720,옹진군,인천광역시 옹진군,인천광역시,옹진군,인천광역시옹진군
29,광주광역시,29110,동구,29110,동구,광주광역시 동구,광주광역시,동구,광주광역시동구
29,광주광역시,29140,서구,29140,서구,광주광역시 서구,광주광역시,서구,광주광역시서구
29,광주광역시,29155,남구,29155,남구,광주광역시 남구,광주광역시,남구,광주광역시남구
29,광주광역시,29170,북구,29170,북구,광주광역시 북구,광주광역시,북구,광주광역시북구
29,광주광역시,29200,광산구,29200,광산구,광주광역시 광산구,광주광역시,광산구,광주광역시광산구
30,대전광역시,30110,동구,30110,동구,대전광역시 동구,대전광역시,동구,대전광역시동구
30,대전광역시,30140,중구,30140,중구,대전광역시 중구,대전광역시,중구,대전광역시중구
30,대전광역시,30170,서구,30170,서구,대전광역시 서구,대전광역시,서구,대전광역시서구
30,대전광역시,30200,유성구,30200,유성구,대전광역시 유성구,대전광역시,유성구,대전광역시유성구
30,대전광역시,30230,대덕구,30230,대덕구,대전광역시 대덕구,대전광역시,대덕구,대전광역시대덕구
31,울산광역시,31110,중구,31110,중구,울산광역시 중구,울산광역시,중구,울산광역시중구
31,울산광역시,31140,남구,31140,남구,울산광역시 남구,울산광역시,남구,울산광역시남구
31,울산광역시,31170,동구,31170,동구,울산광역시 동구,울산광역시,동구,울산광역시동구
31,울산광역시,31200,북구,31200,북구,울산광역시 북구,울산광역시,북구,울산광역시북구
31,울산광역시,31710,울주군,31710,울주군,울산광역시 울주군,울산광역시,울주군,울산광역시울주군
36,세종특별자치시,36110,세종특별자치시,36110,세종특별자치시,세종특별자치시 세종특별자치시,세종특별자치시,세종특별자치시,세종특별자치시세종특별자치시
41,경기도,41111,수원시 장안구,41111,수원시 장안구,경기도 수원시 장안구,경기도,수원시장안구,경기도수원시장안구
41,경기도,41113,수원시 권선구,41113,수원시 권선구,경기도 수원시 권선구,경기도,수원시권선구,경기도수원시권선구
41,경기도,41115,수원시 팔달구,41115,수원시 팔달구,경기도 수원시 팔달구,경기도,수원시팔달구,경기도수원시팔달구
41,경기도,41117,수원시 영통구,41117,수원시 영통구,경기도 수원시 영통구,경기도,수원시영통구,경기도수원시영통구
41,경기도,41131,성남시 수정구,41131,성남시 수정구,경기도 성남시 수정구,경기도,성남시수정구,경기도성남시수정구
41,경기도,41133,성남시 중원구,41133,성남시 중원구,경기도 성남시 중원구,경기도,성남시중원구,경기도성남시중원구
41,경기도,41135,성남시 분당구,41135,성남시 분당구,경기도 성남시 분당구,경기도,성남시분당구,경기도성남시분당구
41,경기도,41150,의정부시,41150,의정부시,경기도 의정부시,경기도,의정부시,경기도의정부시
41,경기도,41171,안양시 만안구,41171,안양시 만안구,경기도 안양시 만안구,경기도,안양시만안구,경기도안양시만안구
41,경기도,41173,안양시 동안구,41173,안양시 동안구,경기도 안양시 동안구,경기도,안양시동안구,경기도안양시동안구
41,경기도,41192,부천시 원미구,41192,부천시 원미구,경기도 부천시 원미구,경기도,부천시원미구,경기도부천시원미구
41,경기도,41194,부천시 소사구,41194,부천시 소사구,경기도 부천시 소사구,경기도,부천시소사구,경기도부천시소사구
41,경기도,41196,부천시 오정구,41196,부천시 오정구,경기도 부천시 오정구,경기도,부천시오정구,경기도부천시오정구
41,경기도,41210,광명시,41210,광명시,경기도 광명시,경기도,광명시,경기도광명시
41,경기도,41220,평택시,41220,평택시,경기도 평택시,경기도,평택시,경기도평택시
41,경기도,41250,동두천시,41250,동두천시,경기도 동두천시,경기도,동두천시,경기도동두천시
41,경기도,41271,안산시 상록구,41271,안산시 상록구,경기도 안산시 상록구,경기도,안산시상록구,경기도안산시상록구
41,경기도,41273,안산시 단원구,41273,안산시 단원구,경기도 안산시 단원구,경기도,안산시단원구,경기도안산시단원구
41,경기도,41281,고양시 덕양구,41281,고양시 덕양구,경기도 고양시 덕양구,경기도,고양시덕양구,경기도고양시덕양구
41,경기도,41285,고양시 일산동구,41285,고양시 일산동구,경기도 고양시 일산동구,경기도,고양시일산동구,경기도고양시일산동구
41,경기도,41287,고양시 일산서구,41287,고양시 일산서구,경기도 고양시 일산서구,경기도,고양시일산서구,경기도고양시일산서구
41,경기도,41290,과천시,41290,과천시,경기도 과천시,경기도,과천시,경기도과천시
41,경기도,41310,구리시,41310,구리시,경기도 구리시,경기도,구리시,경기도구리시
41,경기도,41360,남양주시,41360,남양주시,경기도 남양주시,경기도,남양주시,경기도남양주시
41,경기도,41370,오산시,41370,오산시,경기도 오산시,경기도,오산시,경기도오산시
41,경기도,41390,시흥시,41390,시흥시,경기도 시흥시,경기도,시흥시,경기도시흥시
41,경기도,41410,군포시,41410,군포시,경기도 군포시,경기도,군포시,경기도군포시
41,경기도,41430,의왕시,41430,의왕시,경기도 의왕시,경기도,의왕시,경기도의왕시
41,경기도,41450,하남시,41450,하남시,경기도 하남시,경기도,하남시,경기도하남시
41,경기도,41461,용인시 처인구,41461,용인시 처인구,경기도 용인시 처인구,경기도,용인시처인구,경기도용인시처인구
41,경기도,41463,용인시 기흥구,41463,용인시 기흥구,경기도 용인시 기흥구,경기도,용인시기흥구,경기도용인시기흥구
41,경기도,41465,용인시 수지구,41465,용인시 수지구,경기도 용인시 수지구,경기도,용인시수지구,경기도용인시수지구
41,경기도,41480,파주시,41480,파주시,경기도 파주시,경기도,파주시,경기도파주시
41,경기도,41500,이천시,41500,이천시,경기도 이천시,경기도,이천시,경기도이천시
41,경기도,41550,안성시,41550,안성시,경기도 안성시,경기도,안성시,경기도안성시
41,경기도,41570,김포시,41570,김포시,경기도 김포시,경기도,김포시,경기도김포시
41,경기도,41590,화성시,41590,화성시,경기도 화성시,경기도,화성시,경기도화성시
41,경기도,41610,광주시,41610,광주시,경기도 광주시,경기도,광주시,경기도광주시
41,경기도,41630,양주시,41630,양주시,경기도 양주시,경기도,양주시,경기도양주시
41,경기도,41650,포천시,41650,포천시,경기도 포천시,경기도,포천시,경기도포천시
