queryName,queryNameNormalized,areaCd,areaNm,signguCd,signguNm,fullRegionNm,matchType,matchNote
종로,종로,11,서울특별시,11110,종로구,서울특별시 종로구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
종로구,종로구,11,서울특별시,11110,종로구,서울특별시 종로구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
서울종로,서울종로,11,서울특별시,11110,종로구,서울특별시 종로구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시종로,서울시종로,11,서울특별시,11110,종로구,서울특별시 종로구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울종로구,서울종로구,11,서울특별시,11110,종로구,서울특별시 종로구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시종로구,서울시종로구,11,서울특별시,11110,종로구,서울특별시 종로구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시종로,서울특별시종로,11,서울특별시,11110,종로구,서울특별시 종로구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시종로구,서울특별시종로구,11,서울특별시,11110,종로구,서울특별시 종로구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
중,중,11,서울특별시,11140,중구,서울특별시 중구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
중구,중구,11,서울특별시,11140,중구,서울특별시 중구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
서울중,서울중,11,서울특별시,11140,중구,서울특별시 중구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시중,서울시중,11,서울특별시,11140,중구,서울특별시 중구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울중구,서울중구,11,서울특별시,11140,중구,서울특별시 중구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시중구,서울시중구,11,서울특별시,11140,중구,서울특별시 중구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시중,서울특별시중,11,서울특별시,11140,중구,서울특별시 중구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시중구,서울특별시중구,11,서울특별시,11140,중구,서울특별시 중구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
용산,용산,11,서울특별시,11170,용산구,서울특별시 용산구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
용산구,용산구,11,서울특별시,11170,용산구,서울특별시 용산구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
서울용산,서울용산,11,서울특별시,11170,용산구,서울특별시 용산구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시용산,서울시용산,11,서울특별시,11170,용산구,서울특별시 용산구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울용산구,서울용산구,11,서울특별시,11170,용산구,서울특별시 용산구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시용산구,서울시용산구,11,서울특별시,11170,용산구,서울특별시 용산구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시용산,서울특별시용산,11,서울특별시,11170,용산구,서울특별시 용산구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시용산구,서울특별시용산구,11,서울특별시,11170,용산구,서울특별시 용산구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
성동,성동,11,서울특별시,11200,성동구,서울특별시 성동구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
성동구,성동구,11,서울특별시,11200,성동구,서울특별시 성동구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
서울성동,서울성동,11,서울특별시,11200,성동구,서울특별시 성동구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울성동구,서울성동구,11,서울특별시,11200,성동구,서울특별시 성동구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시성동,서울시성동,11,서울특별시,11200,성동구,서울특별시 성동구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시성동구,서울시성동구,11,서울특별시,11200,성동구,서울특별시 성동구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시성동,서울특별시성동,11,서울특별시,11200,성동구,서울특별시 성동구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시성동구,서울특별시성동구,11,서울특별시,11200,성동구,서울특별시 성동구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
광진,광진,11,서울특별시,11215,광진구,서울특별시 광진구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
광진구,광진구,11,서울특별시,11215,광진구,서울특별시 광진구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
서울광진,서울광진,11,서울특별시,11215,광진구,서울특별시 광진구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울광진구,서울광진구,11,서울특별시,11215,광진구,서울특별시 광진구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시광진,서울시광진,11,서울특별시,11215,광진구,서울특별시 광진구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시광진구,서울시광진구,11,서울특별시,11215,광진구,서울특별시 광진구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시광진,서울특별시광진,11,서울특별시,11215,광진구,서울특별시 광진구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시광진구,서울특별시광진구,11,서울특별시,11215,광진구,서울특별시 광진구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
동대문,동대문,11,서울특별시,11230,동대문구,서울특별시 동대문구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
동대문구,동대문구,11,서울특별시,11230,동대문구,서울특별시 동대문구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
서울동대문,서울동대문,11,서울특별시,11230,동대문구,서울특별시 동대문구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울동대문구,서울동대문구,11,서울특별시,11230,동대문구,서울특별시 동대문구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시동대문,서울시동대문,11,서울특별시,11230,동대문구,서울특별시 동대문구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시동대문구,서울시동대문구,11,서울특별시,11230,동대문구,서울특별시 동대문구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시동대문,서울특별시동대문,11,서울특별시,11230,동대문구,서울특별시 동대문구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시동대문구,서울특별시동대문구,11,서울특별시,11230,동대문구,서울특별시 동대문구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
중랑,중랑,11,서울특별시,11260,중랑구,서울특별시 중랑구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
중랑구,중랑구,11,서울특별시,11260,중랑구,서울특별시 중랑구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
서울중랑,서울중랑,11,서울특별시,11260,중랑구,서울특별시 중랑구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시중랑,서울시중랑,11,서울특별시,11260,중랑구,서울특별시 중랑구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울중랑구,서울중랑구,11,서울특별시,11260,중랑구,서울특별시 중랑구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시중랑구,서울시중랑구,11,서울특별시,11260,중랑구,서울특별시 중랑구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시중랑,서울특별시중랑,11,서울특별시,11260,중랑구,서울특별시 중랑구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시중랑구,서울특별시중랑구,11,서울특별시,11260,중랑구,서울특별시 중랑구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
성북,성북,11,서울특별시,11290,성북구,서울특별시 성북구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
성북구,성북구,11,서울특별시,11290,성북구,서울특별시 성북구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
서울성북,서울성북,11,서울특별시,11290,성북구,서울특별시 성북구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울성북구,서울성북구,11,서울특별시,11290,성북구,서울특별시 성북구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시성북,서울시성북,11,서울특별시,11290,성북구,서울특별시 성북구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시성북구,서울시성북구,11,서울특별시,11290,성북구,서울특별시 성북구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시성북,서울특별시성북,11,서울특별시,11290,성북구,서울특별시 성북구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시성북구,서울특별시성북구,11,서울특별시,11290,성북구,서울특별시 성북구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
강북,강북,11,서울특별시,11305,강북구,서울특별시 강북구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
강북구,강북구,11,서울특별시,11305,강북구,서울특별시 강북구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
서울강북,서울강북,11,서울특별시,11305,강북구,서울특별시 강북구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울강북구,서울강북구,11,서울특별시,11305,강북구,서울특별시 강북구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시강북,서울시강북,11,서울특별시,11305,강북구,서울특별시 강북구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시강북구,서울시강북구,11,서울특별시,11305,강북구,서울특별시 강북구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시강북,서울특별시강북,11,서울특별시,11305,강북구,서울특별시 강북구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시강북구,서울특별시강북구,11,서울특별시,11305,강북구,서울특별시 강북구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
도봉,도봉,11,서울특별시,11320,도봉구,서울특별시 도봉구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
도봉구,도봉구,11,서울특별시,11320,도봉구,서울특별시 도봉구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
서울도봉,서울도봉,11,서울특별시,11320,도봉구,서울특별시 도봉구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울도봉구,서울도봉구,11,서울특별시,11320,도봉구,서울특별시 도봉구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시도봉,서울시도봉,11,서울특별시,11320,도봉구,서울특별시 도봉구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시도봉구,서울시도봉구,11,서울특별시,11320,도봉구,서울특별시 도봉구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시도봉,서울특별시도봉,11,서울특별시,11320,도봉구,서울특별시 도봉구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시도봉구,서울특별시도봉구,11,서울특별시,11320,도봉구,서울특별시 도봉구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
노원,노원,11,서울특별시,11350,노원구,서울특별시 노원구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
노원구,노원구,11,서울특별시,11350,노원구,서울특별시 노원구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
서울노원,서울노원,11,서울특별시,11350,노원구,서울특별시 노원구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울노원구,서울노원구,11,서울특별시,11350,노원구,서울특별시 노원구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시노원,서울시노원,11,서울특별시,11350,노원구,서울특별시 노원구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시노원구,서울시노원구,11,서울특별시,11350,노원구,서울특별시 노원구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시노원,서울특별시노원,11,서울특별시,11350,노원구,서울특별시 노원구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시노원구,서울특별시노원구,11,서울특별시,11350,노원구,서울특별시 노원구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
은평,은평,11,서울특별시,11380,은평구,서울특별시 은평구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
은평구,은평구,11,서울특별시,11380,은평구,서울특별시 은평구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
서울은평,서울은평,11,서울특별시,11380,은평구,서울특별시 은평구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시은평,서울시은평,11,서울특별시,11380,은평구,서울특별시 은평구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울은평구,서울은평구,11,서울특별시,11380,은평구,서울특별시 은평구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시은평구,서울시은평구,11,서울특별시,11380,은평구,서울특별시 은평구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시은평,서울특별시은평,11,서울특별시,11380,은평구,서울특별시 은평구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시은평구,서울특별시은평구,11,서울특별시,11380,은평구,서울특별시 은평구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서대문,서대문,11,서울특별시,11410,서대문구,서울특별시 서대문구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
서대문구,서대문구,11,서울특별시,11410,서대문구,서울특별시 서대문구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
서울서대문,서울서대문,11,서울특별시,11410,서대문구,서울특별시 서대문구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울서대문구,서울서대문구,11,서울특별시,11410,서대문구,서울특별시 서대문구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시서대문,서울시서대문,11,서울특별시,11410,서대문구,서울특별시 서대문구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울시서대문구,서울시서대문구,11,서울특별시,11410,서대문구,서울특별시 서대문구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시서대문,서울특별시서대문,11,서울특별시,11410,서대문구,서울특별시 서대문구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
서울특별시서대문구,서울특별시서대문구,11,서울특별시,11410,서대문구,서울특별시 서대문구,area_sigungu,시도명과 시군구명을 함께 포함한 권장 매칭
마포,마포,11,서울특별시,11440,마포구,서울특별시 마포구,sigungu_only,시군구명 단독 매칭은 중복 지명이 있을 수 있어 필요하면 시도명을 추가로 확인
