ID,area_cd,area_nm,area_aliases,area_aliases_normalized,usage_note
area_11,11,서울특별시,서울|서울시|서울특별시,서울|서울시|서울특별시,시도명 단독 입력 시 areaCd 확인에 사용. 시군구가 필요한 API는 추가 질문 필요
area_26,26,부산광역시,부산|부산시|부산광역시,부산|부산시|부산광역시,시도명 단독 입력 시 areaCd 확인에 사용. 시군구가 필요한 API는 추가 질문 필요
area_27,27,대구광역시,대구|대구시|대구광역시,대구|대구시|대구광역시,시도명 단독 입력 시 areaCd 확인에 사용. 시군구가 필요한 API는 추가 질문 필요
area_28,28,인천광역시,인천|인천시|인천광역시,인천|인천시|인천광역시,시도명 단독 입력 시 areaCd 확인에 사용. 시군구가 필요한 API는 추가 질문 필요
area_29,29,광주광역시,광주|광주시|광주광역시,광주|광주시|광주광역시,시도명 단독 입력 시 areaCd 확인에 사용. 시군구가 필요한 API는 추가 질문 필요
area_30,30,대전광역시,대전|대전시|대전광역시,대전|대전시|대전광역시,시도명 단독 입력 시 areaCd 확인에 사용. 시군구가 필요한 API는 추가 질문 필요
area_31,31,울산광역시,울산|울산시|울산광역시,울산|울산시|울산광역시,시도명 단독 입력 시 areaCd 확인에 사용. 시군구가 필요한 API는 추가 질문 필요
area_36,36,세종특별자치시,세종|세종시|세종특별자치시,세종|세종시|세종특별자치시,시도명 단독 입력 시 areaCd 확인에 사용. 시군구가 필요한 API는 추가 질문 필요
area_41,41,경기도,경기|경기도,경기|경기도,시도명 단독 입력 시 areaCd 확인에 사용. 시군구가 필요한 API는 추가 질문 필요
area_43,43,충청북도,충북|충청북도,충북|충청북도,시도명 단독 입력 시 areaCd 확인에 사용. 시군구가 필요한 API는 추가 질문 필요
area_44,44,충청남도,충남|충청남도,충남|충청남도,시도명 단독 입력 시 areaCd 확인에 사용. 시군구가 필요한 API는 추가 질문 필요
area_46,46,전라남도,전남|전라남도,전남|전라남도,시도명 단독 입력 시 areaCd 확인에 사용. 시군구가 필요한 API는 추가 질문 필요
area_47,47,경상북도,경북|경상북도,경북|경상북도,시도명 단독 입력 시 areaCd 확인에 사용. 시군구가 필요한 API는 추가 질문 필요
area_48,48,경상남도,경남|경상남도,경남|경상남도,시도명 단독 입력 시 areaCd 확인에 사용. 시군구가 필요한 API는 추가 질문 필요
area_50,50,제주특별자치도,제주|제주도|제주특별자치도,제주|제주도|제주특별자치도,시도명 단독 입력 시 areaCd 확인에 사용. 시군구가 필요한 API는 추가 질문 필요
area_51,51,강원특별자치도,강원|강원도|강원특별자치도,강원|강원도|강원특별자치도,시도명 단독 입력 시 areaCd 확인에 사용. 시군구가 필요한 API는 추가 질문 필요
area_52,52,전북특별자치도,전북|전라북도|전북특별자치도,전북|전라북도|전북특별자치도,시도명 단독 입력 시 areaCd 확인에 사용. 시군구가 필요한 API는 추가 질문 필요
