ID,area_cd,area_nm,signgu_cd,signgu_nm,full_region_nm,area_nm_normalized,signgu_nm_normalized,full_region_nm_normalized,usage_note
region_11_11110,11,서울특별시,11110,종로구,서울특별시 종로구,서울특별시,종로구,서울특별시종로구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11140,11,서울특별시,11140,중구,서울특별시 중구,서울특별시,중구,서울특별시중구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11170,11,서울특별시,11170,용산구,서울특별시 용산구,서울특별시,용산구,서울특별시용산구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11200,11,서울특별시,11200,성동구,서울특별시 성동구,서울특별시,성동구,서울특별시성동구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11215,11,서울특별시,11215,광진구,서울특별시 광진구,서울특별시,광진구,서울특별시광진구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11230,11,서울특별시,11230,동대문구,서울특별시 동대문구,서울특별시,동대문구,서울특별시동대문구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11260,11,서울특별시,11260,중랑구,서울특별시 중랑구,서울특별시,중랑구,서울특별시중랑구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11290,11,서울특별시,11290,성북구,서울특별시 성북구,서울특별시,성북구,서울특별시성북구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11305,11,서울특별시,11305,강북구,서울특별시 강북구,서울특별시,강북구,서울특별시강북구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11320,11,서울특별시,11320,도봉구,서울특별시 도봉구,서울특별시,도봉구,서울특별시도봉구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11350,11,서울특별시,11350,노원구,서울특별시 노원구,서울특별시,노원구,서울특별시노원구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11380,11,서울특별시,11380,은평구,서울특별시 은평구,서울특별시,은평구,서울특별시은평구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11410,11,서울특별시,11410,서대문구,서울특별시 서대문구,서울특별시,서대문구,서울특별시서대문구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11440,11,서울특별시,11440,마포구,서울특별시 마포구,서울특별시,마포구,서울특별시마포구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11470,11,서울특별시,11470,양천구,서울특별시 양천구,서울특별시,양천구,서울특별시양천구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11500,11,서울특별시,11500,강서구,서울특별시 강서구,서울특별시,강서구,서울특별시강서구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11530,11,서울특별시,11530,구로구,서울특별시 구로구,서울특별시,구로구,서울특별시구로구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11545,11,서울특별시,11545,금천구,서울특별시 금천구,서울특별시,금천구,서울특별시금천구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11560,11,서울특별시,11560,영등포구,서울특별시 영등포구,서울특별시,영등포구,서울특별시영등포구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11590,11,서울특별시,11590,동작구,서울특별시 동작구,서울특별시,동작구,서울특별시동작구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11620,11,서울특별시,11620,관악구,서울특별시 관악구,서울특별시,관악구,서울특별시관악구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11650,11,서울특별시,11650,서초구,서울특별시 서초구,서울특별시,서초구,서울특별시서초구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11680,11,서울특별시,11680,강남구,서울특별시 강남구,서울특별시,강남구,서울특별시강남구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11710,11,서울특별시,11710,송파구,서울특별시 송파구,서울특별시,송파구,서울특별시송파구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_11_11740,11,서울특별시,11740,강동구,서울특별시 강동구,서울특별시,강동구,서울특별시강동구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_26_26110,26,부산광역시,26110,중구,부산광역시 중구,부산광역시,중구,부산광역시중구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_26_26140,26,부산광역시,26140,서구,부산광역시 서구,부산광역시,서구,부산광역시서구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_26_26170,26,부산광역시,26170,동구,부산광역시 동구,부산광역시,동구,부산광역시동구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_26_26200,26,부산광역시,26200,영도구,부산광역시 영도구,부산광역시,영도구,부산광역시영도구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_26_26230,26,부산광역시,26230,부산진구,부산광역시 부산진구,부산광역시,부산진구,부산광역시부산진구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_26_26260,26,부산광역시,26260,동래구,부산광역시 동래구,부산광역시,동래구,부산광역시동래구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_26_26290,26,부산광역시,26290,남구,부산광역시 남구,부산광역시,남구,부산광역시남구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_26_26320,26,부산광역시,26320,북구,부산광역시 북구,부산광역시,북구,부산광역시북구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_26_26350,26,부산광역시,26350,해운대구,부산광역시 해운대구,부산광역시,해운대구,부산광역시해운대구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_26_26380,26,부산광역시,26380,사하구,부산광역시 사하구,부산광역시,사하구,부산광역시사하구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_26_26410,26,부산광역시,26410,금정구,부산광역시 금정구,부산광역시,금정구,부산광역시금정구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_26_26440,26,부산광역시,26440,강서구,부산광역시 강서구,부산광역시,강서구,부산광역시강서구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_26_26470,26,부산광역시,26470,연제구,부산광역시 연제구,부산광역시,연제구,부산광역시연제구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_26_26500,26,부산광역시,26500,수영구,부산광역시 수영구,부산광역시,수영구,부산광역시수영구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_26_26530,26,부산광역시,26530,사상구,부산광역시 사상구,부산광역시,사상구,부산광역시사상구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_26_26710,26,부산광역시,26710,기장군,부산광역시 기장군,부산광역시,기장군,부산광역시기장군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_27_27110,27,대구광역시,27110,중구,대구광역시 중구,대구광역시,중구,대구광역시중구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_27_27140,27,대구광역시,27140,동구,대구광역시 동구,대구광역시,동구,대구광역시동구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_27_27170,27,대구광역시,27170,서구,대구광역시 서구,대구광역시,서구,대구광역시서구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_27_27200,27,대구광역시,27200,남구,대구광역시 남구,대구광역시,남구,대구광역시남구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_27_27230,27,대구광역시,27230,북구,대구광역시 북구,대구광역시,북구,대구광역시북구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_27_27260,27,대구광역시,27260,수성구,대구광역시 수성구,대구광역시,수성구,대구광역시수성구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_27_27290,27,대구광역시,27290,달서구,대구광역시 달서구,대구광역시,달서구,대구광역시달서구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_27_27710,27,대구광역시,27710,달성군,대구광역시 달성군,대구광역시,달성군,대구광역시달성군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_27_27720,27,대구광역시,27720,군위군,대구광역시 군위군,대구광역시,군위군,대구광역시군위군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28110,28,인천광역시,28110,중구,인천광역시 중구,인천광역시,중구,인천광역시중구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28140,28,인천광역시,28140,동구,인천광역시 동구,인천광역시,동구,인천광역시동구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28177,28,인천광역시,28177,미추홀구,인천광역시 미추홀구,인천광역시,미추홀구,인천광역시미추홀구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28185,28,인천광역시,28185,연수구,인천광역시 연수구,인천광역시,연수구,인천광역시연수구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28200,28,인천광역시,28200,남동구,인천광역시 남동구,인천광역시,남동구,인천광역시남동구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28237,28,인천광역시,28237,부평구,인천광역시 부평구,인천광역시,부평구,인천광역시부평구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28245,28,인천광역시,28245,계양구,인천광역시 계양구,인천광역시,계양구,인천광역시계양구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28260,28,인천광역시,28260,서구,인천광역시 서구,인천광역시,서구,인천광역시서구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28710,28,인천광역시,28710,강화군,인천광역시 강화군,인천광역시,강화군,인천광역시강화군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28720,28,인천광역시,28720,옹진군,인천광역시 옹진군,인천광역시,옹진군,인천광역시옹진군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_29_29110,29,광주광역시,29110,동구,광주광역시 동구,광주광역시,동구,광주광역시동구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
